2.3805 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
317.9977 	DATA 	Keypress: 5
318.3809 	DATA 	Keypress: 2
318.4770 	DATA 	PLAYER HAS BALL
318.4872 	DATA 	PLAYER THROWS TO 3 - RT 0.0102
318.4872 	DATA 	round 3 - trial 128 - throw: 2to3 - PBALL
321.3993 	DATA 	Keypress: 5
321.5987 	DATA 	round 3 - trial 129 - throw: 3to2 - PBALL
321.9978 	DATA 	Keypress: 5
322.8621 	DATA 	PLAYER HAS BALL
323.1358 	DATA 	Keypress: 2
323.1453 	DATA 	PLAYER THROWS TO 3 - RT 0.2831
323.1453 	DATA 	round 3 - trial 130 - throw: 2to3 - PBALL
323.9979 	DATA 	Keypress: 5
325.2553 	DATA 	round 3 - trial 131 - throw: 3to2 - PBALL
325.9978 	DATA 	Keypress: 5
326.4418 	DATA 	Keypress: 1
326.5193 	DATA 	PLAYER HAS BALL
326.5295 	DATA 	PLAYER THROWS TO 1 - RT 0.0102
326.5295 	DATA 	round 3 - trial 132 - throw: 2to1 - PBALL
329.4470 	DATA 	Keypress: 5
329.6465 	DATA 	round 3 - trial 133 - throw: 1to2 - PBALL
329.9977 	DATA 	Keypress: 5
330.7468 	DATA 	Keypress: 2
330.9115 	DATA 	PLAYER HAS BALL
330.9217 	DATA 	PLAYER THROWS TO 3 - RT 0.0101
330.9217 	DATA 	round 3 - trial 134 - throw: 2to3 - PBALL
331.9979 	DATA 	Keypress: 5
333.0375 	DATA 	round 3 - trial 135 - throw: 3to2 - PBALL
333.9977 	DATA 	Keypress: 5
334.1038 	DATA 	Keypress: 2
334.3015 	DATA 	PLAYER HAS BALL
334.3117 	DATA 	PLAYER THROWS TO 3 - RT 0.0102
334.3117 	DATA 	round 3 - trial 136 - throw: 2to3 - PBALL
336.2290 	DATA 	Keypress: 5
336.4284 	DATA 	round 3 - trial 137 - throw: 3to2 - PBALL
337.5768 	DATA 	Keypress: 1
337.6921 	DATA 	PLAYER HAS BALL
337.7023 	DATA 	PLAYER THROWS TO 1 - RT 0.0102
337.7023 	DATA 	round 3 - trial 138 - throw: 2to1 - PBALL
337.9978 	DATA 	Keypress: 5
339.8194 	DATA 	round 3 - trial 139 - throw: 1to2 - PBALL
339.9979 	DATA 	Keypress: 5
341.0170 	DATA 	Keypress: 1
341.0834 	DATA 	PLAYER HAS BALL
341.0936 	DATA 	PLAYER THROWS TO 1 - RT 0.0102
341.0937 	DATA 	round 3 - trial 140 - throw: 2to1 - PBALL
341.9978 	DATA 	Keypress: 5
344.0110 	DATA 	Keypress: 5
344.2105 	DATA 	round 3 - trial 141 - throw: 1to2 - PBALL
345.3223 	DATA 	Keypress: 2
345.4759 	DATA 	PLAYER HAS BALL
345.4861 	DATA 	PLAYER THROWS TO 3 - RT 0.0102
345.4861 	DATA 	round 3 - trial 142 - throw: 2to3 - PBALL
345.9978 	DATA 	Keypress: 5
346.5924 	DATA 	round 3 - trial 143 - throw: 3to2 - PBALL
347.7548 	DATA 	Keypress: 1
